Site ID,Rating 5_5_22,Sport Fish Area Boundary,"Area, Region, Quad or City",Road Name,Stream Name,Prioritization,AWCStreamNo,Miles Used for Scoring,MSB Culverts to 16pc Gradient with Green culverts removed ,NHD Miles Data TO NEXT NON-GREEN CULVERT or END,Pre-2022 Miles Data to NEXT BARRIER or END,AWC Miles U/S- ,Acres of Lake,AWC SPECIES at mouth,No of Anadromous Species,Resident AFFI- Needs to be updated.,No of resident species,Red/Gray rating,Rating w/ Perch,Perch height over 1 foot,Perch,latitude,longitude,notes
20300914,Red,Kenai Peninsula,,Port Graham,NULL,0.8,no awc,0.68,,0.68,,,,,,,,1,2,1.33,1,59.29291462,-151.7003821,
20303804,Red,Kenai River Drainage,,Beaver Loop Road,Unnamed,0.8,244-30-10010-2015,0.86,,0.86,,,,"COr,Sr",2,,,1,1,,,60.54239,-151.16998,
20300963,Red,Kenai Peninsula,,Seward Highway,Unnamed,0.8,247-60-10170-2029-3041-4030,1.05,,1.05,,,,COr,1,,,1,1,,,60.7897119,-149.2096413,
20302669,Red,Kenai River Drainage,,Seward Highway,Moose Creek,0.8,244-30-10010-2225-3013,0.14,,0.14,,,,"COp,Ss",2,,,1,2,1.11,1,60.50917,-149.4525,
20300959,Gray,Kenai Peninsula,,Seward Highway,Spokane Creek,0.7,no awc,2.42,,2.42,,,,,,,,0.5,0.5,,,60.7415027,-149.2598856,
20301001,Red,Kenai River Drainage,,Upper Skilak Lake Campground,Lower Ohmer Creek,0.7,no awc,1.21,,1.21,,,,,,,,1,1,,,60.44187049,-150.3178242,
20300907,Gray,Kenai Peninsula,,East Road,NULL,0.7,244-20-10100-2022,2.07,,2.07,,,,COp,1,,,0.5,0.5,,,59.98388134,-151.6291596,
20303924,Red,Kenai River Drainage,,Seward Highway,Moose Creek,0.6,244-30-10010-2225-3013,0.01,,,,,,"COp,Ss",2,,,1,2,1.6,1,60.5090273,-149.452718,
20300943,Red,Kenai River Drainage,,Seward Highway,Moose Creek,0.6,no awc,0.99,,0.99,,,,,,,,1,1,,,60.51357401,-149.4703751,
20303751,Red,Kenai River Drainage,,Lawton Drive,Unnamed,0.5,244-30-10010-2007,0.6,,0.6,,,,COr,1,,,1,1,,,60.560026,-151.187151,side channel
20300915,Red,Kenai Peninsula,,Port Graham,NULL,0.5,241-20-10550-2024-3012,0.06,,0.06,,,,"COr,Ps,DVs",3,,,1,1,,,59.28985038,-151.6904909,
20300986,Red,Kenai Peninsula,,North Fork Road,Unnamed,0.5,no awc,0.79,,0.79,,,,,,,,1,1,,,59.76637765,-151.6266623,
20300912,Red,Kenai Peninsula,,Port Graham,NULL,0.5,no awc,0.39,,0.39,,,,,,,,1,2,5.13,1,59.31087237,-151.7717086,
20303756,Gray,Kenai River Drainage,,Otter Trail Road,Unnamed,0.5,244-30-10010-2063-3002,1.31,,1.31,,,,COr,1,,,0.5,0.5,,,60.5395,-150.73605,
20200929,Red,Kenai Peninsula,,Port Graham,NULL,0.5,242-32-10170,0.01,,,,,,"CHs,COs,Ps",3,,,1,1,,,59.24984594,-151.6272546,
20300958,Gray,Kenai Peninsula,,Seward Highway,Pete's Creek,0.4,no awc,1.46,,1.46,,,,,,,,0.5,0.5,,,60.73191175,-149.2697941,
20301022,Red,Kenai Peninsula,,Nikolaevsk Road,Unnamed,0.4,no awc,0.71,,0.71,,,,,,,,1,1,,,59.81844977,-151.6066812,
20301007,Gray,Kenai River Drainage,,Bridge Access Road,Unnamed,0.4,244-30-10010-2009,0.64,,0.64,,,,"COr,Kr,Sr",3,,,0.5,0.5,,,60.53529881,-151.2112883,
20300883,Gray,Kenai Peninsula,,Falls Creek Road,NULL,0.4,244-20-10090,0.12,,0.12,,,,"COs,Kp,Pp,DVp,SHp",5,,,0.5,0.5,,,60.18491511,-151.3054008,
20302672,Red,Kenai River Drainage,,Seward Highway,Moose Creek,0.4,244-30-10010-2225-3013,0.16,,0.16,,,,"COp,Ss",2,,,1,1,,,60.512276,-149.467164,
20300975,Black,Kenai River Drainage,,Kenai Spur Highway,Unnamed,0.4,244-30-10010-2001-3004,0.41,,0.41,,,,COr,1,,,0,1,1.85,1,60.5575191,-151.2661299,
20300922,Red,Kenai Peninsula,,Port Graham,NULL,0.4,241-20-10550-2021,0.08,,0.08,,,,COr,1,,,1,2,2.67,1,59.30243435,-151.7058791,
20200945,Red,Kenai Peninsula,,Nash Road,Unnamed,0.4,231-30-10104,0.12,,0.12,,,,"CHs,Ps",2,,,1,1,,,60.1225294,-149.3697248,
20300882,Red,Kenai Peninsula,,Falls Creek Road,NULL,0.4,no awc,0.61,,0.61,,,,,,,,1,1,,,60.14039455,-151.364649,
20301015,Gray,Kenai River Drainage,,Scout Lake Loop Road,Unnamed,0.4,244-30-10010-2057,0.7,,0.7,,,,"COr,Kr",2,,,0.5,0.5,,,60.51814177,-150.794461,
20200937,Red,Kenai Peninsula,,Nash Road,Spring Creek,0.4,no awc,0.58,,0.58,,,,,,,,1,1,,,60.08947,-149.35236,
20300976,Gray,Kenai River Drainage,,Kenai Spur Road,Unnamed,0.3,244-30-10010-2001,0.39,,0.39,,,,"COr,Kr,Sr",3,,,0.5,0.5,,,60.55965904,-151.27333,
20300965,Gray,Kenai River Drainage,,Jerome Lake Access Road,Jerome Lake,0.3,244-30-10010-2177-3030,0.79,,0.79,,,,COsr,1,,,0.5,0.5,,,60.55105718,-149.5884507,
20301014,Gray,Kenai River Drainage,,Lou Morgan Road,Unnamed,0.3,244-30-10010-2051,0.73,,0.73,,,,COr,1,,,0.5,0.5,,,60.51310103,-150.8596036,
20303753,Red,Kenai River Drainage,,Moose River Drive,Unnamed,0.3,no awc,0.47,,0.47,,,,,,,,1,1,,,60.54926,-150.75282,
20303930,Gray,Kenai River Drainage,,Driveway off Seward Highway,Moose Creek,0.3,no awc,0.91,,0.91,,,,,,,,0.5,0.5,,,60.513401,-149.47038,
20203732,Red,Kenai Peninsula,,Port Avenue,Unnamed,0.2,231-30-10070-2016,0.16,,0.16,,,,COs,1,,,1,1,,,60.12098,-149.43985,
20300996,Gray,Kenai River Drainage,,Skilak Lake Road,Jean Creek,0.2,244-30-10010-2145,0.01,,,,,,"COs,Sp,DVp",3,,,0.5,0.5,,,60.48345123,-150.1166893,
20300900,Gray,Kenai Peninsula,,Oil Well Road,NULL,0.2,no awc,0.52,,0.52,,,,,,,,0.5,0.5,,,60.04575261,-151.3001169,
20203720,Red,Kenai Peninsula,,Driveway,Unnamed,0.2,231-30-10070-2009,0.01,,,,,,COp,1,,,1,1,,,60.11431,-149.44389,
20203727,Red,Kenai Peninsula,,Driveway,Scheffler Creek,0.2,231-30-10070-2009,0.01,,,,,,COp,1,,,1,1,,,60.11247,-149.44385,
20203728,Red,Kenai Peninsula,,Driveway,Scheffler Creek,0.2,231-30-10070-2009,0.01,,,,,,COp,1,,,1,1,,,60.11215,-149.44386,
20203731,Red,Kenai Peninsula,,Seward Highway,Unnamed,0.2,231-30-10080-2010-3065-4110,0.01,,,,,,COr,1,,,1,1,,,60.191417,-149.375135,
20203736,Red,Kenai Peninsula,,Driveway,Unnamed,0.2,231-30-10080-2010-3029-4015,0.01,,,,,,COr,1,,,1,1,,,60.155048,-149.426587,
20203737,Red,Kenai Peninsula,,Driveway,Unnamed,0.2,231-30-10080-2010-3029-4015,0.01,,,,,,COr,1,,,1,1,,,60.15519,-149.4283,
20203740,Red,Kenai Peninsula,,Clear Creek Road,Unnamed,0.2,231-30-10080-2010-3029-4019,0.01,,,,,,COr,1,,,1,1,,,60.15521,-149.43199,
20300918,Red,Kenai Peninsula,,Port Graham,NULL,0.2,241-20-10550-2015,0.01,,,,,,COr,1,,,1,1,,,59.3076617,-151.7223092,
20300926,Red,Kenai Peninsula,,Port Graham,NULL,0.2,241-20-10550-2020,0.01,,,,,,COr,1,,,1,1,,,59.29771233,-151.7118075,
20300921,Gray,Kenai Peninsula,,Port Graham,NULL,0.2,241-20-10550-2023,0.01,,,,,,"CHr,COr",2,,,0.5,0.5,,,59.30213914,-151.7002252,
20303806,Gray,Kenai River Drainage,,Sterling Highway,Unnamed,0.2,244-30-10010-2177-3022,0.26,,0.26,,,,COr,1,,,0.5,0.5,,,60.524288,-149.644316,
20303923,Red,Kenai River Drainage,,Seward Highway,Unnamed,0.1,no awc,0.22,,0.22,,,,,,,,1,1,,,60.510583,-149.462777,
20301002,Green,Kenai River Drainage,,Upper Skilak Campground Road,Lower Ohmer Creek,0.1,no awc,0.18,,0.18,,,,,,,,0,1,3.09,1,60.43968047,-150.3201642,
20203735,Gray,Kenai Peninsula,,Old Exit Glacier Road,Unnamed,0.1,231-30-10080-2010-3029-4015,0.09,,0.09,,,,COr,1,,,0.5,0.5,,,60.15431,-149.42455,
20303752,Gray,Kenai River Drainage,,Moose River Drive,Unnamed,0.1,244-30-10010-2063-3003,0.07,,0.07,,,,COr,1,,,0.5,0.5,,,60.54728,-150.75244,
20203733,Gray,Kenai Peninsula,,Seward Highway,Unnamed,0.1,231-30-10070-2016,0.07,,0.07,,,,COs,1,,,0.5,0.5,,,60.12032,-149.44093,
20301016,Red,Kenai Peninsula,,Seward Highway,Unnamed,0.1,no awc,0.15,,0.15,,,,,,,,1,1,,,60.74939002,-149.3756507,
20203738,Gray,Kenai Peninsula,,Driveway,Unnamed,0.1,231-30-10080-2010-3029-4015,0.01,,,,,,COr,1,,,0.5,0.5,,,60.15498,-149.42961,
20203741,Gray,Kenai Peninsula,,Salmon Creek Road,Unnamed,0.1,231-30-10080-2010-3022,0.01,,,,,,COr,1,,,0.5,0.5,,,60.15122,-149.40675,
20300920,Gray,Kenai Peninsula,,Port Graham,NULL,0.1,241-20-10550-2019,0.01,,,,,,COr,1,,,0.5,0.5,,,59.30174782,-151.7118873,
20300885,Gray,Kenai Peninsula,,Oil Well Road,NULL,0.1,no awc,0.17,,0.17,,,,,,,,0.5,0.5,,,60.04218986,-151.3857502,
20303754,Red,Kenai River Drainage,,Driveway,Unnamed,0,no awc,0.08,,0.08,,,,,,,,1,1,,,60.54675,-150.75394,
20200940,Gray,Kenai Peninsula,,Seward Highway,Unnamed,0,no awc,0.13,,0.13,,,,,,,,0.5,0.5,,,60.16591946,-149.4042281,
20300932,Gray,Kenai River Drainage,,Sterling Highway,Unnamed,0,no awc,0.12,,0.12,,,,,,,,0.5,0.5,,,60.52403537,-149.6394442,
20300974,Red,Kenai River Drainage,,Kenai Spur Highway,Unnamed,0,no awc,0.06,,0.06,,,,,,,,1,1,,,60.53740966,-151.0856655,
20200939,Red,Kenai Peninsula,,Seward Highway,Grouse Creek,0,no awc,0.01,,,,,,,,,,1,2,1.33,1,60.24200118,-149.3648228,
20300913,Red,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,1,2,1.82,1,59.30850014,-151.7578211,
20300999,Red,Kenai River Drainage,,Snug Harbor Road,Shackleford Creek,0,no awc,0.01,,,,,,,,,,1,2,3.38,1,60.48786998,-149.7856758,
20301023,Red,Kenai Peninsula,,North Fork Road,Unnamed,0,no awc,0.01,,,,,,,,,,1,2,1.14,1,59.80098786,-151.6650909,
20300896,Red,Kenai Peninsula,,Oil Well Road,NULL,0,no awc,0.02,,0.02,,,,,,,,1,1,,,60.12448936,-151.1806268,
20203721,Red,Kenai Peninsula,,Driveway,Scheffler Creek,0,no awc,0.01,,,,,,,,,,1,1,,,60.11375,-149.44392,
20203724,Red,Kenai Peninsula,,Driveway,Scheffler Creek,0,no awc,0.01,,,,,,,,,,1,1,,,60.113149,-149.44383,
20203725,Red,Kenai Peninsula,,Driveway,Scheffler Creek,0,no awc,0.01,,,,,,,,,,1,1,,,60.11284,-149.44388,
20203726,Red,Kenai Peninsula,,Driveway,Scheffler Creek,0,no awc,0.01,,,,,,,,,,1,1,,,60.11266,-149.44389,
20203742,Red,Kenai Peninsula,,Driveway,Unnamed,0,no awc,0.01,,,,,,,,,,1,1,,,60.14897,-149.40862,
20300919,Red,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,1,1,,,59.30813389,-151.7230763,
20300924,Red,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,1,1,,,59.29671435,-151.7158956,
20300962,Red,Kenai Peninsula,,Seward Highway,Unnamed,0,no awc,0.01,,,,,,,,,,1,1,,,60.73092459,-149.3354309,
